,,,,,,,,,,,
,Flight Load by CARRIER,,,,2018,,,,,,
,,,,,,,,,,,
,Carrier,Airport,,Flights,,Pasengers,,Seats offered,,Load,
,,,,Arrival,Departure,Arrival,Departure,Arrival,Departure,Arrival,Departure
,,Paphos,PFO,4,4,682,682,756,756,"90,21 %","90,21 %"
,,Rhodes,RHO,5,5,865,819,945,945,"91,53 %","86,67 %"
,,Burgas,BOJ,4,4,692,630,756,756,"91,53 %","83,33 %"
,,Rimini,RMI,4,4,638,684,756,756,"84,39 %","90,48 %"
,,Girona,GRO,7,7,1048,1268,1323,1323,"79,21 %","95,84 %"
,,Naples,NAP,9,9,1467,1563,1701,1701,"86,24 %","91,89 %"
,Wizz Air,Luton,LTN,30,30,4059,5337,5400,5400,"75,17 %","98,83 %"
,,Stavanger,SVG,13,13,1952,1956,2340,2340,"83,42 %","83,59 %"
,,Bergen,BGO,8,8,1239,1249,1440,1440,"86,04 %","86,74 %"
,,Olesund,AES,8,8,1623,1642,1840,1840,"88,21 %","89,24 %"
,,Eindhoven,EIN,8,8,1444,1619,1840,1840,"78,48 %","87,99 %"
,LOT,Warsaw,WAW,25,25,1290,1207,1910,1910,"67,54 %","63,19 %"
,,,,,,,,,,,
,Spalis,,,,,,,,,,
,RYANAIR,Luton,LTN,30,31,5128,5403,5670,5859,"90,44 %","92,22 %"
,,Copenhage,CPH,30,30,5221,5224,5670,5670,"92,08 %","92,13 %"
,,Dublin,DUB,18,18,3293,3270,3402,3402,"96,80 %","96,12 %"
,,Bristol,BRS,12,12,2063,2099,2268,2268,"90,96 %","92,55 %"
,,Edinburgh,EDI,8,8,1415,1430,1512,1512,"93,58 %","94,58 %"
,,Stansted,STN,23,23,3946,3991,4347,4347,"90,78 %","91,81 %"
,,Shannon,SNN,6,7,1065,1251,1134,1323,"93,92 %","94,56 %"
,,Alicante,ALC,17,17,3039,2967,3213,3213,"94,58 %","92,34 %"
,,Palma de Mallorca,PMI,8,8,1415,1297,1512,1512,"93,58 %","85,78 %"
,,Paphos,PFO,4,4,680,699,756,756,"89,95 %","92,46 %"
,,Rhodes,RHO,4,4,696,524,756,756,"92,06 %","69,31 %"
,,Burgas,BOJ,4,4,656,470,756,756,"86,77 %","62,17 %"
